StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Race,LGBTQIA,Identities,Citizen,Internat,Immig,Year,Rank Group_1,Rank Group_2,Rank Group_3,Rank Group_4,Rank PI_1,Rank PI_2,Rank PI_3,Rank PI_4,Rank Lab_1,Rank Lab_2,Rank Lab_3,Rank Lab_4,Y/N Discrim,P-D2,P-D3,P-D4,P-D5,P-B2,P-B3,P-B4,P-B5,P-M2,P-M3,P-M4,P-M5,Y/N OtherDiscrim,O-Q1,O-Q2,OtherFR,Actions,Ranked Covid_1,Ranked Covid_2,Ranked Covid_3,Ranked Covid_4,Ranked Covid_5,Ranked Covid_6,Ranked Covid_7,Ranked Covid2_1,Ranked Covid2_2,Ranked Covid2_3,Ranked Covid2_4,Ranked Covid2_5,Hours,Transportation,MH,Social,FreeRep Com
2020-10-08 16:12:55,2020-10-08 18:11:36,IP Address,100,7120,True,2020-10-08 18:11:36,R_3kGp6eRJi51UTfq,anonymous,EN,No,No,No,Yes,No,No,2nd Year,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,20-40hrs,Car,Yes,Maybe,
2020-10-08 18:22:44,2020-10-08 18:26:27,IP Address,100,222,True,2020-10-08 18:26:27,R_CdkqVyRp6wyFilX,anonymous,EN,No,Yes,Yes,Yes,No,No,2nd Year,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,,,,,,,,,,,,,,Bias,Do not know,Do not know,,,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,0-5hrs,Car,No,Maybe,
2020-10-08 16:14:56,2020-10-08 18:45:58,IP Address,100,9062,True,2020-10-08 18:45:58,R_brN7qPVhVi1CxY5,anonymous,EN,No,No,Yes,No,No,Yes,2nd Year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,,,,,,,,,,,,,,,,,,Include conversations and talks as a REQUIRED course or seminar in a REGULAR (once a month or so) basis which MUST be attended by BOTH students and PIs.,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,10-20hrs,Car,Yes,Yes,
2020-10-08 20:07:40,2020-10-08 20:12:27,IP Address,100,286,True,2020-10-08 20:12:27,R_3lQxApDTsFAw0Ww,anonymous,EN,No,No,Yes,Yes,No,No,2nd Year,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Bias,,,,,,No,,,,,,,Microaggression,No,No,,,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,0-5hrs,Biking,Maybe,Yes,
2020-10-09 02:05:54,2020-10-09 02:10:40,IP Address,100,286,True,2020-10-09 02:10:40,R_3JqOp2HMS563iZP,anonymous,EN,Yes,No,No,No,Yes,No,4th Year,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,Microaggression,Do not know,Do not know,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,20-40hrs,"Walking,Biking",Maybe,Maybe,
2020-10-09 09:37:29,2020-10-09 09:39:44,IP Address,100,135,True,2020-10-09 09:39:44,R_2cbc93sl5SBlGoM,anonymous,EN,Yes,No,No,Yes,No,No,3rd Year,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Microaggression,,,,,,,,,,No,,,Bias,Yes,Do not know,,,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,40hrs+,Car,No,Maybe,
2020-10-09 11:31:39,2020-10-09 11:37:15,IP Address,100,336,True,2020-10-09 11:37:16,R_2D17gjM1PvkXFdg,anonymous,EN,Yes,No,No,No,Yes,No,4th Year,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,20-40hrs,Car,No,Yes,
2020-10-09 13:47:04,2020-10-09 13:56:17,IP Address,100,553,True,2020-10-09 13:56:18,R_3HRILvcWzyCC1ke,anonymous,EN,Yes,No,Yes,Yes,No,Yes,3rd Year,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Discrimination,,No,,Retaliation,,,,,,,,,Microaggression,Do not know,Do not know,,,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,0-5hrs,Car,Yes,Maybe,
2020-10-09 11:59:25,2020-10-10 23:20:02,IP Address,100,127236,True,2020-10-10 23:20:02,R_1CgA8Cvezohx4KX,anonymous,EN,No,No,No,No,Yes,No,2nd Year,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Bias,Microaggression",,,,,During rotations some PIs seemed to be favoring US citizens over the international students since international students are not eligible to apply for any federal funding like NIH or NSF fellowships/training grants.,No,,"There was no way to prove that since the PIs were just saying that the students they were accepting into their labs, who were US citizens, were better fits.","During the rotation talks, one of the faculty who was evaluating the talks was being extremely critical about small grammatical errors that any international student had, and making comments like international students should be getting extra help even though most of these students had lived in the US for over 5 years and obtained college degrees from US institutions; therefore having superb English language qualifications. The same faculty was also making remarks about how hard it was for them to understand the talk due to ""the way"" international students were speaking. All these remarks and comments were making me and all the other international students in my cohort very uncomfortable and self-conscious when we needed to give a talk in front of this certain faculty member.",No,,I did not know this could be reported. I also believe that if we were to report this person it wouldn't have changed anything really since it is very clear that this faculty member has a certain level of bias towards international students who are not native English speakers.,"Bias,Microaggression",No,No,,,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,5-10hrs,"Walking,Biking",No,Yes,
2020-10-11 14:59:32,2020-10-11 15:14:50,IP Address,100,917,True,2020-10-11 15:14:51,R_3j204YBWzTZ1q5P,anonymous,EN,No,No,No,Yes,No,No,2nd Year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,Microaggression,Do not know,Do not know,,"Ensuring there is a reliable and safe way to report instances and hold faculty accountable. It should also be possible to remove faculty that abuse students,
are the subject of reported incidents etc. from BMCDB. ",Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,5-10hrs,"Biking,Car",No,Maybe,
2020-10-11 20:31:49,2020-10-11 20:46:31,IP Address,100,881,True,2020-10-11 20:46:31,R_1NfVk8nl9XThjTf,anonymous,EN,No,No,No,Yes,No,No,3rd Year,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,"I had a very awkward last rotation where the PI & project scientist did most of my project for me and didn't want to teach me their techniques. I wasn't planning on joining the lab (and they knew that) but they took my idea for a collaborative project and worked on it without me. I don't think they are planning on publishing it, but the rotation ended on poor terms and did not keep in touch. ",,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,10-20hrs,Biking,No,Yes,"Virtual seminars! Bring back the joint molecular biology seminars. "
2020-10-12 08:10:08,2020-10-12 08:17:18,IP Address,100,429,True,2020-10-12 08:17:18,R_pMBF6SLATFbfjlT,anonymous,EN,Yes,Yes,Yes,No,Yes,Yes,2nd Year,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,Bias,Do not know,Do not know,,,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,20-40hrs,Biking,Yes,Yes,
2020-10-13 12:48:03,2020-10-13 12:50:40,IP Address,100,156,True,2020-10-13 12:50:40,R_3Rqg8tU1dMLyOKL,anonymous,EN,No,No,No,Yes,No,No,2nd Year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,20-40hrs,Biking,Maybe,Yes,
2020-10-13 13:51:06,2020-10-13 13:55:02,IP Address,100,235,True,2020-10-13 13:55:02,R_2qga6ZLZn6UFtsX,anonymous,EN,Yes,No,Yes,Yes,No,No,5th Year,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Discrimination,Bias,Microaggression",,No,,"Process is confusing and difficult. ",,No,,"Process is long. ",,No,,"No one would believe me. ","Discrimination,Bias,Microaggression",Do not know,Do not know,,,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,40hrs+,"Biking,Car",Maybe,Maybe,
2020-10-08 15:50:05,2020-10-08 15:50:45,IP Address,20,39,False,2020-10-15 15:51:02,R_2dsDtdb9K5LPyH1,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
